Partlist for Project:                                                  ,,,,,,,,
Customer:                                                              ,,,,,,,,
File:  c:/users/jack/documents/eagle/noduino/quantum/v1.0/noduino-quantum-v1.0-produce.brd.bom,,,,,,,,
"Prepared by:  Group #____  SFU Engineering Science, ENSC 204    2016/11/16 16:11:59 ",,,,,,,,
,,,,,,,,
Item,Qty,Part Number,Description,Package,Manufacturer,Suggested Suppliers,Sub/Comments,Part ID.
5,6,2.4pF, ,0402-CAP, , , ,"C6,C44,C69,C94,C119,C145"
6,6,3nF, ,0402-CAP, , , ,"C15,C39,C64,C89,C114,C140"
7,6,6.8pF, ,0402-CAP, , , ,"C5,C28,C53,C78,C103,C129"
8,6,10nF, ,0402-CAP, , , ,"C16,C40,C65,C90,C115,C141"
9,12,12pF, ,0402-CAP, , , ,"C22,C23,C47,C48,C72,C73,C97,C98,C123,C124,C148,C149"
10,12,15pF, ,0402-CAP, , , ,"C3,C4,C26,C27,C51,C52,C76,C77,C101,C102,C127,C128"
11,48,100nF, ,0402-CAP, , , ,"C1,C7,C14,C18,C19,C29,C30,C34,C38,C42,C43,C54,C55,C59,C63,C67,C68,C79,C80,C84,C88,C92,C93,C104,C105,C109,C113,C117,C118,C122,C130,C131,C135,C139,C143,C144,C8,C9,C31,C32,C56,C57,C81,C82,C106,C107,C132,C133"
12,6,100pF, ,0402-CAP, , , ,"C2,C25,C50,C75,C100,C126"
13,12,270pF, ,0402-CAP, , , ,"C20,C21,C45,C46,C70,C71,C95,C96,C120,C121,C146,C147"
14,6,1.6nH, ,0402-IND, , , ,"L1,L2,L3,L4,L5,L6"
15,6,0R, ,0402-RES, , , ,"R2,R12,R20,R30,R38,R46"
16,12,10K, ,0402-RES, , , ,"R9,R17,R23,R27,R35,R43,R6,R16,R22,R26,R34,R42"
17,6,20K, ,0402-RES, , , ,"R1,R13,R21,R31,R39,R47"
18,6,DNP，此器件不用贴, ,0402-RES, , , ,"R3,R5,R15,R25,R33,R41"
19,6,1uF, ,0603-CAP, , , ,"C13,C37,C62,C87,C112,C138"
20,6,4.7uF, ,0603-CAP, , , ,"C12,C36,C61,C86,C111,C137"
21,6,10uF, ,0603-CAP, , , ,"C17,C41,C66,C91,C116,C142"
22,18,1K, ,0603-RES, , , ,"R4,R7,R8,R10,R11,R14,R18,R19,R24,R28,R29,R32,R36,R37,R40,R44,R45,R48"
23,6,40MHz, ,2520-CRY, , , ,"Y1,Y3,Y5,Y7,Y9,Y11"
24,6,10uF, ,C1206, , , ,"C24,C49,C74,C99,C125,C150"
25,6,10uF, ,C1206, , , ,"C10,C33,C58,C83,C108,C134"
26,6,32KHz, ,CRYSTAL-32KHZ-MS3V, , , ,"Y2,Y4,Y6,Y8,Y10,Y12"
27,6,M7, ,DO214, , , ,"D4,D7,D12,D17,D22,D27"
28,6,100uF, ,EIA3528, , , ,"C11,C35,C60,C85,C110,C136"
29,12,GREEN-LED 绿色LED, ,LED-0603, , , ,"D1,D2,D3,D10,D11,D15,D16,D20,D21,D25,D26,D30"
30,6,BLUE-LED 蓝色LED, ,LED-0603, , , ,"D6,D9,D14,D19,D24,D29"
31,6,CP2102, ,MLP28, , , ,"IC2,IC4,IC6,IC8,IC10,IC12"
35,6,POWER_JACKPTH, ,POWER_JACK_PTH, , , ,"J1,J2,J3,J4,J5,J6"
36,6,ESP32, ,QFN48-0.4MM, , , ,"U1,U4,U6,U8,U10,U12"
37,6,W25Q128FVT, ,SO08-EIAJ, , , ,"U2,U3,U5,U7,U9,U11"
38,6,s4, ,SOD-323, , , ,"D5,D8,D13,D18,D23,D28"
39,12,DTC143ECA, ,SOT23-3, , , ,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12"
40,6,1117-3.3, ,SOT223, , , ,"IC1,IC3,IC5,IC7,IC9,IC11"
41,6,SWITCH-SMD, ,TACTILE-SWITCH-1101NE, , , ,"S1,S2,S3,S4,S5,S6"
42,6,IPX, ,IPX, , , ,"A2,A3,A5,A7,A9,A11"
